field_number,collector,species,locality,altitude,date,notes
RS 687,Roman Staník,thelocactus conothelos,"Altamira, Tamaulipas, Mexico",NA,NA,NA
RS 737,Roman Staník,thelocactus conothelos,"Las Jarillas, Nuevo Leon, Mexico before Doctor Arroyo",NA,NA,NA
SB 1862,Steven (Steve) Brack,thelocactus conothelos v. argenteus,"Sandia Grande, Nuevo Leon, Mexico",NA,NA,NA
SB 1966,Steven (Steve) Brack,thelocactus conothelos,"East of Matehuala, San Luis Potosi, Mexico",NA,NA,NA
SB 302,Steven (Steve) Brack,thelocactus conothelos,"Matehuala, San Luis Potosi, Mexico",NA,NA,NA
SB 311,Steven (Steve) Brack,thelocactus conothelos v. argenteus,"Ascencion, Nuevo Leon, Mexico",NA,NA,NA
SB 329,Steven (Steve) Brack,thelocactus conothelos v. aurantiacus,"Amberri, Nuevo Leon, Mexico",NA,NA,NA
SH 1068,Dennis Sargant (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069"
SH 663,Dennis Sargant (plants collected by Alfred Bernhard Lau),thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA
SH 731,Dennis Sargant (plants collected by Alfred Bernhard Lau),thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma"
TK 334,Antonín Krejčík,thelocactus conothelos,"Bustamante, Mexico",NA,NA,NA
TK 338,Antonín Krejčík,thelocactus conothelos,"Nuevo Leon to Puentes, Mexico",NA,NA,NA
TK 344,Antonín Krejčík,thelocactus conothelos,"Aramberi to La Escondida, Mexico",NA,NA,NA
