field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"Cuatrocienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"La Linda, Coahuila, Mexico",northern form,northern form,northern form
NA,NA,NA,"Cuatro Palmas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"East of Viesca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Terlingua, Brewster County, Texas, USA",NA,NA,NA
NA,NA,NA,"Rio Nazas, Durango, Mexico",NA,NA,NA
NA,NA,NA,"La Peña, Sierra Parras, Coahuila, Mexico",2005,2005,"= LH1033, PP1357"
NA,NA,NA,"Sierra de la Paila, Sierra de la Paila, Coahuila, Mexico",2005,2005,NA
NA,NA,NA,"Laguna del Rey to Ocampo, Coahuila, Mexico",2005,2005,NA
NA,NA,NA,"Tanque Menchaca, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Ejido Lucio Blanco, Coahuila, Mexico",2013,2013,NA
NA,NA,NA,"Big Bend, Brewster County, Texas, USA",1992,1992,NA
NA,NA,NA,"El Herrero, Municipio Matehuala, San Luis Potosí, Mexico",1996,1996,= PP406
NA,NA,NA,"Cuatro Ciénegas, Municipio Cuatro Ciénegas, Coahuila, Mexico",1996,1996,= PP539
NA,NA,NA,"Matehuala, San Luis Potosí, Mexico",1996,1996,NA
NA,NA,NA,"Cuatro Ciénegas, near factory, Municipio Cuatro Ciénegas, Coahuila, Mexico",1998/11,1998/11,"= PP353, PP539"
NA,NA,NA,"Villa Real, Coahuila, Mexico",1998/11,1998/11,NA
NA,NA,NA,"San Rafael, Coahuila, Mexico",1998/11,1998/11,NA
NA,NA,NA,"Hot Springs, Brewster County, Texas, USA",1998/11,1998/11,NA
NA,NA,NA,"Terlingua, Brewster County, Texas, USA",1998/11,1998/11,NA
NA,NA,NA,"Coyame, Chihuahua, Mexico",1998/11,1998/11,NA
NA,NA,NA,"Parras, Coahuila, Mexico",1998/11,1998/11,NA
NA,NA,NA,"El Hundido, San Luis Potosí, Mexico","= PP989, RS581A","= PP989, RS581A","= PP989, RS581A"
NA,NA,NA,"Parras, Coahuila, Mexico",1600m,18/11/1975,together with REP1083-1083f and Echinocereus stramineus
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",800m,24/11/1976,"together with REP1183-1186g, Coryphantha poselgeriana, Echinocactus horizonthalonius, Ferocactus hamatacanthus, Echinomastus sp."
NA,NA,NA,"Ocampo, Coahuila, Mexico",1350m,26/11/1976,together with REP1195-1196c
NA,NA,NA,"Huasteca Canon, Nuevo León, Mexico",900m,4/12/1976,"together with REP1212-1216d, Ferocactus hamatacanthus, Escobaria roseana, Echinocereus salmdyckianus, Neolloydia conoidea"
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",800m,2/7/1989,"together with REP2284-2290, Neolloydia sp., Coryphantha vaupeliana, Opuntia leptocaulis, O. herrfeldtii, O. lindheimeri, Agave lechuguilla"
NA,NA,NA,"Ojo Caliente, Coahuila, Mexico",1600m,7/9/1971,together with REP441-446
NA,NA,NA,"Parras, Coahuila, Mexico",1600m,10/9/1971,together with REP454-456a
NA,NA,NA,"Perote by Parras, Coahuila, Mexico",1600m,13/9/1971,together with REP480-487
NA,NA,NA,"Quatro Cienegas, Coahuila, Mexico",900m,16/9/1971,together with REP493-507 and Mammillaria heyderi
NA,NA,NA,"Quatro Cienegas, Coahuila, Mexico",800m,17/9/1971,"together with REP508-514a, Larrea tridentata, Opuntia cholla, O. kleiniae and Yucca sp."
NA,NA,NA,"Parras, Coahuila, Mexico",1600m,18/11/1975,together with REP1083-1083f and Echinocereus stramineus
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",800m,24/11/1976,"together with REP1183-1186g, Coryphantha poselgeriana, Echinocactus horizonthalonius, Ferocactus hamatacanthus, Echinomastus sp."
NA,NA,NA,"Ocampo, Coahuila, Mexico",1350m,26/11/1976,together with REP1195-1196c
NA,NA,NA,"Huasteca Canon, Nuevo León, Mexico",900m,4/12/1976,"together with REP1212-1216d, Ferocactus hamatacanthus, Escobaria roseana, Echinocereus salmdyckianus, Neolloydia conoidea"
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",800m,2/7/1989,"together with REP2284-2290, Neolloydia sp., Coryphantha vaupeliana, Opuntia leptocaulis, O. herrfeldtii, O. lindheimeri, Agave lechuguilla"
NA,NA,NA,"Ojo Caliente, Coahuila, Mexico",1600m,7/9/1971,together with REP441-446
