field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
IDD 51/99,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Above Marmolejos, Aramberi, Nuevo León, Mexico",24/04/2003,24/04/2003,= IDD589; next to and on the location of Ariocarpus confusus,bcss,"Above Marmolejos, Aramberi, Nuevo León, Mexico",direct,24.134801111,-99.784346389
IDD 587,Igor D. Dráb,thelocactus conothelos v. argenteus,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",23/04/2003,23/04/2003,= IDD049A/99,bcss,"Past the village, to the right, km 19, Sandia La Victoria, Nuevo León, Mexico",direct,24.20089,-100.07641
IDD 589,Igor D. Dráb,thelocactus conothelos v. aurantiacus,"Above Marmolejos, Aramberi, Nuevo León, Mexico",24/04/2003,24/04/2003,= IDD51/99; next to and on the location of Ariocarpus confusus,bcss,"Above Marmolejos, Aramberi, Nuevo León, Mexico",direct,24.134801111,-99.784346389
IDD 645,Igor D. Dráb,thelocactus conothelos fma.,"Turn to Miquihuana, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD105/99; Altamira form,bcss,"Turn to Miquihuana, Tamaulipas, Mexico",direct,23.619121261,-99.773914264
IDD 647,Igor D. Dráb,thelocactus conothelos fma.,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",30/04/2003,30/04/2003,= IDD107/99; red flower!,bcss,"At the turn off towards Villa de Bustamante, Tamaulipas, Mexico",direct,23.32679751,-99.872678882
IDD 67,Igor D. Dráb,thelocactus conothelos,"Tula, Tamaulipas, Mexico",27/04/1997,27/04/1997,= CSD62,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
JABO 314,Jaroslav Bohata,thelocactus conothelos v. argenteus,"South-West of Ascension, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Ascension, Nuevo Leon, Mexico",direction_only,25.6577983,-100.3231709
KMR 31,Miroslav Kupčák,thelocactus conothelos,"South of Jaumave, Tamaulipas, Mexico",2004,2004,NA,bcss,"Jaumave, Tamaulipas, Mexico",direction_only,23.4719813,-99.4263583
KMR 31A,Miroslav Kupčák,thelocactus conothelos,"San Lorenzo, Jaumave, Tamaulipas, Mexico",2004,2004,NA,bcss,"San Lorenzo, Jaumave, Tamaulipas, Mexico",direct,23.371954167,-99.404514444
KMR 36,Miroslav Kupčák,thelocactus conothelos ssp. aurantiacus,"La Pena, South-West of Miquihuana, Tamaulipas, Mexico",2004,2004,NA,bcss,"La Pena, South-West of Miquihuana, Tamaulipas, Mexico",direct,23.559219444,-99.686766666
KMR 5,Miroslav Kupčák,thelocactus conothelos ssp. conothelos x ssp. aurantiacus,"San Antonio de Pena Nevada, East of Doctor Arroyo, Nuevo León, Mexico",2004,2004,NA,bcss,"San Antonio de Pena Nevada, East of Doctor Arroyo, Nuevo León, Mexico",direct,23.763282373201,-99.972376249135
KMR 56,Miroslav Kupčák,thelocactus conothelos ssp. aurantiacus,"Marmolejos, Aramberri, Nuevo León, Mexico",2004,2004,NA,bcss,"Marmolejos, Aramberri, Nuevo León, Mexico",direct,24.134801111,-99.784346389
KMR 67,Miroslav Kupčák,thelocactus conothelos,"South of Siberia, South of Zaragoza, Nuevo León, Mexico",2004,2004,NA,bcss,"Siberia, South of Zaragoza, Nuevo León, Mexico",direction_only,23.86013,-99.841186111
KMR 67A,Miroslav Kupčák,thelocactus conothelos,"East of Joya de San Diego, South of Zaragoza, Nuevo León, Mexico",2004,2004,NA,bcss,"Joya de San Diego, South of Zaragoza, Nuevo León, Mexico",direction_only,23.881723889,-99.897617778
KMR 68,Miroslav Kupčák,thelocactus conothelos,"Ejido Pena Nevada direction to Siberia, South-West of Zaragoza, Nuevo León, Mexico",2004,2004,NA,bcss,"Ejido Pena Nevada direction to Siberia, South-West of Zaragoza, Nuevo León, Mexico",direct,25.515176944,-99.279219444
KPP 1698,Karel Pavel Pavlíček,thelocactus conothelos,"Carmen, Nuevo Leon, Mexico",01/01/2012,01/01/2012,NA,bcss,"Carmen, Nuevo Leon, Mexico",direct,25.9368419,-100.3613419
KPP 1722,Karel Pavel Pavlíček,thelocactus conothelos,"Dr. Arroyo, Carmen, Nuevo Leon, Mexico",01/01/2012,01/01/2012,NA,bcss,"Dr. Arroyo, Carmen, Nuevo Leon, Mexico",direct,25.9440178,-100.355238
KPP 1726,Karel Pavel Pavlíček,thelocactus conothelos,"San Jose del Llano, Tamaulipas, Mexico",01/10/2012,01/10/2012,NA,bcss,"San Jose del Llano, Tamaulipas, Mexico",direct,23.5350824,-99.9355695
KS 29,"Libor Kunte, Jaroslav Šnicer",thelocactus conothelos v. macdowellii,"Arteaga, Coahuila, Mexico",NA,NA,NA,bcss,"Arteaga, Coahuila, Mexico",direct,25.3453685,-100.6831723
L 1068,Alfred Bernhard Lau,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069",bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
L 663,Alfred Bernhard Lau,thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA,bcss,"road from Ascension to Sandia, Nuevo Leon, Mexico",direct,24.32392,-99.9141
L 731,Alfred Bernhard Lau,thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma",bcss,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",direct,21.999450886,-99.642043381
LAU 1068,Alfred Bernhard Lau,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",900-1300m,26/11/1974,"together with L1063, L1064, L1069",bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
LAU 663,Alfred Bernhard Lau,thelocactus conothelos v. argenteus,"road from Ascension to Sandia, Nuevo Leon, Mexico",2200m,3/3/1974,NA,bcss,"road from Ascension to Sandia, Nuevo Leon, Mexico",direct,24.32392,-99.9141
LAU 731,Alfred Bernhard Lau,thelocactus conothelos,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",1600-1800m,16/11/1974,"together with Thelocactus bicolor, Astrophythum myriostigma",bcss,"road from Cardenas to La Jolla, San Luis Potosi, Mexico",direct,21.999450886,-99.642043381
LH 124,Ladislav Horáček,thelocactus conothelos,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
