field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
GC 368.05,Graham Charles,pilosocereus pachycladus,West of Petrolina,NA,NA,NA,bcss,Petrolina,direction_only,-9.3817334,-40.4968875
GC 369.04,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA,bcss,Sento Sé,direction_only,-9.7406436,-41.8830056
GC 370.03,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA,bcss,Sento Sé,direction_only,-9.7406436,-41.8830056
GC 371.04,Graham Charles,pilosocereus pachycladus,South of Sento Sé,NA,NA,NA,bcss,Sento Sé,direction_only,-9.7406436,-41.8830056
GC 378.03,Graham Charles,pilosocereus pachycladus,Xiche Xiche,NA,NA,NA,bcss,Xiche Xiche,direct,29.0341661,109.51512
GC 380.06,Graham Charles,pilosocereus pachycladus,Mata dos Mendes,NA,NA,NA,bcss,Mata dos Mendes,direct,-12.4254259,-41.9948939
GC 381.04,Graham Charles,pilosocereus pachycladus,Piaté,NA,NA,NA,bcss,Piaté,direct,46.0556102,8.6905128
GC 492.06,Graham Charles,pilosocereus pachycladus,West of Itaobim,woolly,woolly,woolly,bcss,Itaobim,direction_only,-16.5614934,-41.502275
GC 516.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA,bcss,Mato Verde,direction_only,-15.3942731,-42.8624286
GC 519.06,Graham Charles,pilosocereus pachycladus,North of Licinio de Armeida,NA,NA,NA,bcss,Licinio de Armeida,direction_only,-14.6832866,-42.5044377
GC 520.04,Graham Charles,pilosocereus pachycladus,South-West of Brejinho das Ametistas,NA,NA,NA,bcss,Brejinho das Ametistas,direction_only,-14.2868643,-42.5140263
GC 522.09,Graham Charles,pilosocereus pachycladus,Porto Novo,NA,NA,NA,bcss,Porto Novo,direct,6.4990718,2.6253361
GC 524.06,Graham Charles,pilosocereus pachycladus,West of Seabra,NA,NA,NA,bcss,Seabra,direction_only,-12.4172071,-41.772051
GC 527.06,Graham Charles,pilosocereus pachycladus,North of Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direction_only,-11.5500293,-41.1570248
GC 529.1,Graham Charles,pilosocereus pachycladus,North of Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direction_only,-11.5500293,-41.1570248
GC 643.07,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA,bcss,San Rafael,direct,37.9747795,-122.5316686
GC 644.05,Graham Charles,pilosocereus pachycladus,San Rafael,NA,NA,NA,bcss,San Rafael,direct,37.9747795,-122.5316686
GC 645.1,Graham Charles,pilosocereus pachycladus,Morro do Chapéu,NA,NA,NA,bcss,Morro do Chapéu,direct,-11.5500293,-41.1570248
GC 649.03,Graham Charles,pilosocereus pachycladus,Gruta dos Brejões,NA,NA,NA,bcss,Gruta dos Brejões,direct,-11.007223,-41.4345838
GC 656.04,Graham Charles,pilosocereus pachycladus,Road to Barra,NA,NA,NA,bcss,Road to Barra,direct,58.9621741,-2.9687783
GC 667.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA,bcss,Porta Nova,direct,37.1331018,-7.6482087
GC 668.06,Graham Charles,pilosocereus pachycladus,Porta Nova,NA,NA,NA,bcss,Porta Nova,direct,37.1331018,-7.6482087
GC 670.05,Graham Charles,pilosocereus pachycladus,Iuiú,NA,NA,NA,bcss,Iuiú,direct,-14.4113008,-43.5508641
GC 671.02,Graham Charles,pilosocereus pachycladus,Caetité,NA,NA,NA,bcss,Caetité,direct,-14.0691776,-42.4852428
GC 672.04,Graham Charles,pilosocereus pachycladus,Brejinho das Ametistas,NA,NA,NA,bcss,Brejinho das Ametistas,direct,-14.2868643,-42.5140263
GC 673.06,Graham Charles,pilosocereus pachycladus,North of Licinio de Almeida,NA,NA,NA,bcss,Licinio de Almeida,direction_only,-14.6835152,-42.5064545
