field_number,collector,species,locality,date,notes
IDD 0260,Igor D. Dráb,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),13/05/1993,CSD 245
IDD 0391,Igor D. Dráb,Ariocarpus fissuratus,Mexicó : Coahuila (smer Cuatro Cienegas),27/10/1996,km 162
IDD 1001,Igor D. Dráb,Ariocarpus fissuratus  v. intermedius,Mexicó : Durango (San Rafael),14/10/2003,idd048/03 GPS 74
IDD 1680,Igor D. Dráb,Ariocarpus fissuratus,Mexicó : Coahuila (smer Rancho de Campana),01/04/2012,"idd3112 GPS 427, 1506 m n. m., lokalita od Mirka Marka"
ISI 349,International Succulent Introductions (previously International Succulent Institute),Ariocarpus fissuratus,"30 miles South of Alpine, Texas, USA 3500feet",01/03/60,Collected by W. H. Davis
ISI 718,International Succulent Introductions (previously International Succulent Institute),Ariocarpus fissuratus  v. lloydii,"Near Parras de la Fuente, Coahuila, Mexicó",01/03/72,Collected by C. Aguirre. See C&SJ 37:43
CH 209,Jaromír Chvastek,Ariocarpus fissuratus,"Parras, Coahuila, Mexicó",1992/3/21-/4/27,NA
CH 345,Jaromír Chvastek,Ariocarpus fissuratus  v. hintonii,"Palmas, San Luis Potosi, Mexicó",22/10/1990,NA
CH 562,Jaromír Chvastek,Ariocarpus fissuratus,"Cuatrocienegas, Coahuila, Mexicó 725m",04/05/1991,NA
CH 578,Jaromír Chvastek,Ariocarpus fissuratus,"Bermejillo, Durango, Mexicó 88m",06/05/1991,NA
CSD 107,"Jaromír Chvastek, Roman Staník, Igor Dráb",Ariocarpus fissuratus  v. hintonii,"Mexicó : San Luis Potosí (Palmas, before Matehuala)",01/05/1997,IDD112
CSD 220,"Jaromír Chvastek, Roman Staník, Igor Dráb",Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras),12/05/1997,IDD229
CSD 245,"Jaromír Chvastek, Roman Staník, Igor Dráb",Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),14/05/1997,IDD260
JM 20,John Miller,Ariocarpus fissuratus,"Terlingua Ranch, Texas, USA",NA,NA
JM 25,John Miller,Ariocarpus fissuratus,"Mariposa Mine, Texas, USA",NA,NA
JM 27,John Miller,Ariocarpus fissuratus,"Terlingua Ghost Town Texas, USA",NA,NA
JM 38,John Miller,Ariocarpus fissuratus,"Fort Stockton East Texas, USA",NA,NA
JM 154,John Miller,Ariocarpus fissuratus,"Lajitas, Texas, USA",NA,NA
JM 155,John Miller,Ariocarpus fissuratus,"Lajitas-Terlingua Texas, USA",NA,NA
JM 172,John Miller,Ariocarpus fissuratus,"Shafter, Texas, USA",NA,NA
P 271,Jörg and Brigitte Piltz,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),NA,NA
PIL 271,Jörg and Brigitte Piltz,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),NA,NA
BKM 850,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus,"Mexicó : Coahuila (8 km West of Ocampo, in old quary, alt. 1485 m)",2010,NA
BKM 852,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus,Mexicó : Coahuila (12 km West of Ocampo alt. 1479 m),2010,NA
BKM 855,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus,Mexicó : Coahuila (13 km West of Ocampo alt. 1505 m),2010,NA
BKM 857,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus,Mexicó : Coahuila (15 km West of Ocampo alt. 1510 m),2010,NA
BKM 859,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus  LLOYDII,"Mexicó : Durango (Las Animas, 1 KM before village, alt. 1396 m)",2010,NA
BKM 866,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus  LLOYDII,Mexicó : Durango (Santa Elena alt. 1889 m),2010,NA
BKM 868,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus  LLOYDII,"Mexicó : Durango (Siete Zacates, behind village KM 2)",2010,NA
BKM 870,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus  INTERMEDIUS,"Mexicó : Coahuila (El Hundido, first canyon in letf side from quarry, alt. 843 m)",2010,NA
BKM 875,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus  LLOYDII,"Mexicó : Coahuila (Parras de la Fuente, 3 km behind 2 microonda, alt. 1875 m)",2010,NA
BKM 905,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus LLOYDII MAGNIFICUS,"Mexicó : Zacatecas (San Miguel I., 2 KM before village in canyon)",2010,NA
BKM 907,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus LLOYDII MAGNIFICUS,"Mexicó : Zacatecas (San Miguel II., 1 KM before village in single hill)",2010,NA
BKM 918,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus LLOYDII MAGNIFICUS,Mexicó : Zacatecas (Gallegos),2010,NA
BKM 919,"Josef Barcák, Miroslav Kupcák",Ariocarpus fissuratus LLOYDII MAGNIFICUS,Mexicó : Zacatecas (San Felipe),2010,NA
JJH 30322,Josef Jakob Halda,Ariocarpus fissuratus,"Cuatro Cienegas, Coahuila, Mexicó",NA,NA
JJH 30323,Josef Jakob Halda,Ariocarpus fissuratus,"North of Sierra de la Paila, Coahuila, Mexicó",NA,NA
JJH 30330,Josef Jakob Halda,Ariocarpus fissuratus  v. lloydii,"Parras de la Fuente, Coahuila, Mexicó",NA,NA
JJH 30331,Josef Jakob Halda,Ariocarpus fissuratus  v. lloydii,"South of Sierra de la Paila, Coahuila, Mexicó",NA,NA
JJH 30335,Josef Jakob Halda,Ariocarpus fissuratus ssp. hintonii,"Las Palmas, San Luis Potosi, Mexicó",NA,NA
JJH 30336,Josef Jakob Halda,Ariocarpus fissuratus ssp. hintonii,"El Herrero, San Luis Potosi, Mexicó",NA,NA
JJH 30337,Josef Jakob Halda,Ariocarpus fissuratus ssp. hintonii,"Piedra Blanca, San Luis Potosi, Mexicó",NA,NA
JJH 303226,Josef Jakob Halda,Ariocarpus fissuratus,"Monclova, Nuevo Leon, Mexicó",NA,NA
JJH 303309,Josef Jakob Halda,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Viesca),NA,NA
JJH 303315,Josef Jakob Halda,Ariocarpus fissuratus  v. lloydii,"East of Saltillo, Coahuila, Mexicó",NA,NA
JJH 303317,Josef Jakob Halda,Ariocarpus fissuratus  v. lloydii,"El Hundido, Coahuila, Mexicó",NA,NA
JM 122,Josef Mikulas,Ariocarpus fissuratus,"Fort Stockton, Texas, USA",NA,NA
JO 479,Josef Odehnal,Ariocarpus fissuratus,"4km North of Hot Springs, Texas, USA",21/06/09,NA
ROSE 11610,Joseph Nelson Rose,Ariocarpus fissuratus,"Langtry, Texas, USA",NA,NA
ROSE 11613,Joseph Nelson Rose,Ariocarpus fissuratus,"Langtry, Texas, USA",NA,NA
ROSE 12241,Joseph Nelson Rose,Ariocarpus fissuratus,"Alpine, Texas, USA",NA,NA
JS 1787,JS - gerardo.cz,Ariocarpus fissuratus,USA : Texas (S of Fort Stockton),NA,NA
JS 1795,JS - gerardo.cz,Ariocarpus fissuratus,USA : Texas (24km S of Sanderson),NA,NA
JS 1800,JS - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (Black Gap, SE of Big Bend, Brewter Co.)",NA,NA
JS 1803,JS - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (behined Terlingua, Brewster Co.)",NA,NA
JS 1807,JS - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (NW of Terlingua, Brewster Co.)",NA,NA
JS 1823,JS - gerardo.cz,Ariocarpus fissuratus,"USA : Texas (before Bakersfield, Fort Stockton - Crocett)",NA,NA
KPP 1656,Karel Pavlíček,Ariocarpus fissuratus  v. lloydii,"Mexicó : Durango (nad Rio Nazas, klasická lokalita)",19/03/2011,NA
KPP 1703,Karel Pavlíček,Ariocarpus fissuratus,Mexicó : Coahuila (Ocampo),01/01/2012,NA
KPP 1865,Karel Pavlíček,Ariocarpus fissuratus,"Mexicó : Coahuila (Sierra Ovejas, lok. Thel. lauserii)",10/02/2015,NA
LH 390,Ladislav Horáček,Ariocarpus fissuratus,Mexicó : San Luis Potosi (Matehuala),NA,NA
LH 439,Ladislav Horáček,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosi (Matehuala),NA,NA
LH 473,Ladislav Horáček,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatro Cienegas),NA,NA
LH 480,Ladislav Horáček,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosi (Matehuala),NA,NA
LH 483,Ladislav Horáček,Ariocarpus fissuratus  v. bravoanus,Mexicó : San Luis Potosi (Huizache),NA,NA
LH 920,Ladislav Horáček,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatrocienegas),28/02/1998,NA
LH  1029,Ladislav Horáček,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatrocienegas),2002-03,NA
LH  1033,Ladislav Horáček,Ariocarpus fissuratus  loydii,Mexicó : Coahuila (Parras de la fuente),2003-03,NA
LH 1038,Ladislav Horáček,Ariocarpus fissuratus  hintonii,Mexicó : San Luis Potosi (Matehuala),2003/03,NA
LH  1850,Ladislav Horáček,Ariocarpus fissuratus,Mexicó :  (Cuatrocienegas),2013_12,NA
LRM 13,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus,"Lajitas, Texas, USA",22/06/09,NA
LRM 16,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus,USA : Texas (Terlingua),22/06/09,NA
LRM 17,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus,"Dagger Flats, Texas, USA",22/06/09,NA
LRM 205,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus  v. intermedius,"Cuatrocienagas, Coahuila, Mexicó",23/06/09,NA
LRM 221,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus  v. intermedius,"Sierra Paila, Zona de Minas, Coahuila, Mexicó",23/06/09,NA
